X,fever1,fever2,fever3,fever4,fever5,fever6,fever7,fever8,fever9,fever10,chill1,chill2,chill3,chill4,chill5,chill6,chill7,chill8,chill9,chill10,headache1,headache2,headache3,headache4,headache5,headache6,headache7,headache8,headache9,headache10,pneumonia1,pneumonia2,pneumonia3,pneumonia4,pneumonia5,pneumonia6,pneumonia7,pneumonia8,pneumonia9,pneumonia10,covid1,covid2,covid3,covid4,covid5,covid6,covid7,covid8,covid9,covid10,new cases per day
110,31,29,32,32,31,34,31,31,34,31,60,52,57,62,65,53,48,64,56,57,66,66,64,68,66,69,64,72,67,70,30,37,38,37,35,32,31,35,40,41,87,86,87,87,88,76,79,84,90,89,200759
111,34,31,29,32,32,31,34,31,31,34,56,60,52,57,62,65,53,48,64,56,71,66,66,64,68,66,69,64,72,67,28,30,37,38,37,35,32,31,35,40,84,87,86,87,87,88,76,79,84,90,194600
112,31,34,31,29,32,32,31,34,31,31,60,56,60,52,57,62,65,53,48,64,66,71,66,66,64,68,66,69,64,72,33,28,30,37,38,37,35,32,31,35,83,84,87,86,87,87,88,76,79,84,186071
113,33,31,34,31,29,32,32,31,34,31,59,60,56,60,52,57,62,65,53,48,70,66,71,66,66,64,68,66,69,64,30,33,28,30,37,38,37,35,32,31,101,83,84,87,86,87,87,88,76,79,200675
114,34,33,31,34,31,29,32,32,31,34,57,59,60,56,60,52,57,62,65,53,67,70,66,71,66,66,64,68,66,69,40,30,33,28,30,37,38,37,35,32,94,101,83,84,87,86,87,87,88,76,233319
115,34,34,33,31,34,31,29,32,32,31,52,57,59,60,56,60,52,57,62,65,62,67,70,66,71,66,66,64,68,66,32,40,30,33,28,30,37,38,37,35,94,94,101,83,84,87,86,87,87,88,197701
116,34,34,34,33,31,34,31,29,32,32,39,52,57,59,60,56,60,52,57,62,64,62,67,70,66,71,66,66,64,68,27,32,40,30,33,28,30,37,38,37,74,94,94,101,83,84,87,86,87,87,136582
117,28,34,34,34,33,31,34,31,29,32,70,39,52,57,59,60,56,60,52,57,63,64,62,67,70,66,71,66,66,64,26,27,32,40,30,33,28,30,37,38,58,74,94,94,101,83,84,87,86,87,182016
118,30,28,34,34,34,33,31,34,31,29,57,70,39,52,57,59,60,56,60,52,66,63,64,62,67,70,66,71,66,66,32,26,27,32,40,30,33,28,30,37,72,58,74,94,94,101,83,84,87,86,147703
119,37,30,28,34,34,34,33,31,34,31,64,57,70,39,52,57,59,60,56,60,70,66,63,64,62,67,70,66,71,66,31,32,26,27,32,40,30,33,28,30,78,72,58,74,94,94,101,83,84,87,177696
120,38,37,30,28,34,34,34,33,31,34,72,64,57,70,39,52,57,59,60,56,74,70,66,63,64,62,67,70,66,71,35,31,32,26,27,32,40,30,33,28,94,78,72,58,74,94,94,101,83,84,206128
121,35,38,37,30,28,34,34,34,33,31,90,72,64,57,70,39,52,57,59,60,72,74,70,66,63,64,62,67,70,66,41,35,31,32,26,27,32,40,30,33,96,94,78,72,58,74,94,94,101,83,236598
122,37,35,38,37,30,28,34,34,34,33,81,90,72,64,57,70,39,52,57,59,80,72,74,70,66,63,64,62,67,70,43,41,35,31,32,26,27,32,40,30,104,96,94,78,72,58,74,94,94,101,232690
123,33,37,35,38,37,30,28,34,34,34,65,81,90,72,64,57,70,39,52,57,83,80,72,74,70,66,63,64,62,67,38,43,41,35,31,32,26,27,32,40,92,104,96,94,78,72,58,74,94,94,175188
124,33,33,37,35,38,37,30,28,34,34,78,65,81,90,72,64,57,70,39,52,71,83,80,72,74,70,66,63,64,62,32,38,43,41,35,31,32,26,27,32,74,92,104,96,94,78,72,58,74,94,281601
125,35,33,33,37,35,38,37,30,28,34,56,78,65,81,90,72,64,57,70,39,71,71,83,80,72,74,70,66,63,64,32,32,38,43,41,35,31,32,26,27,77,74,92,104,96,94,78,72,58,74,207368
126,34,35,33,33,37,35,38,37,30,28,71,56,78,65,81,90,72,64,57,70,65,71,71,83,80,72,74,70,66,63,33,32,32,38,43,41,35,31,32,26,82,77,74,92,104,96,94,78,72,58,177865
